VectorSize,Distance,Split,Pruning,Fscore,Precision,Recall,AlarmRate,DetectionRate,Accuracy,DistancesMatrixComputation,BuildingComputation,NumSplits,NumLeaves,Depth
100,DTW-value-localDistance-Lp-4-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.941681,0.282362,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.941681,0.282362,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.801103,0.187193,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.801103,0.187193,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.966381,0.437171,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.966381,0.437171,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.921405,0.823403,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.921405,0.823403,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.917521,0.746831,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-4-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.917521,0.746831,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.984721,0.260616,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.984721,0.260616,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.912814,0.192075,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.912814,0.192075,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.931022,0.424134,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.931022,0.424134,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.922404,0.822887,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.922404,0.822887,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.924456,0.631510,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-5-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.924456,0.631510,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.933124,0.380979,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.933124,0.380979,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.937171,0.193085,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.937171,0.193085,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.934454,0.430744,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.934454,0.430744,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.937099,0.832759,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.937099,0.832759,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.929684,0.625873,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-6-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.929684,0.625873,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.921731,0.401385,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.921731,0.401385,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.940419,0.195063,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.940419,0.195063,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.940278,0.431320,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.940278,0.431320,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.909675,0.807604,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.909675,0.807604,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-7-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.963129,0.623066,1.000000,2.000000,1.000000
